secs,km,power,hr,cad,alt
2187,8.7901,120,,80,580.2
2188,8.792,128,,81,580.4
2189,8.794,141,,82,580.6
2190,8.7962,143,,82,580.6
2191,8.7982,131,,81,580.8
2192,8.8004,118,,80,581
2193,8.8023,110,,80,581
2194,8.8043,108,,81,581.2
2195,8.8062,108,,81,581.4
2196,8.808,118,,81,581.4
2197,8.81,126,,80,581.6
2198,8.8119,126,,80,581.6
2199,8.8138,117,,81,581.8
2200,8.8157,118,,81,582
2201,8.8177,118,,82,582
2202,8.8195,118,,82,582.2
2203,8.8214,123,,84,582.2
2204,8.8234,127,,81,582.4
2205,8.8255,125,,82,582.6
2206,8.8272,125,,82,582.6
2207,8.8293,123,,82,582.8
2208,8.8312,122,,82,583
2209,8.8331,116,,82,583
2210,8.835,116,,81,583.2
2211,8.8368,114,,81,583.4
2212,8.8387,121,,82,583.4
2213,8.8405,127,,81,583.6
2214,8.8423,125,,82,583.6
2215,8.8441,119,,81,583.8
2216,8.846,114,,78,584
2217,8.8478,119,,78,584
2218,8.8496,127,,81,584.2
2219,8.8514,128,,82,584.4
2220,8.8532,128,,82,584.4
2221,8.855,128,,83,584.6
2222,8.8569,121,,81,584.8
2223,8.8586,114,,82,584.8
2224,8.8604,110,,82,585
2225,8.8621,110,,81,585.2
2226,8.8637,110,,80,585.2
2227,8.8652,111,,80,585.4
2228,8.8667,113,,79,585.4
2229,8.8683,114,,79,585.6
2230,8.8698,115,,78,585.8
2231,8.8713,116,,79,585.8
2232,8.8727,124,,81,586
2233,8.8743,129,,81,586.2
2234,8.8759,133,,82,586.2
2235,8.8774,131,,81,586.4
2236,8.8791,129,,81,586.6
2237,8.8807,125,,80,586.6
2238,8.8822,115,,81,586.8
2239,8.8837,113,,82,587
2240,8.8851,124,,81,587
2241,8.8866,130,,81,587.2
2242,8.8881,127,,82,587.4
2243,8.8894,129,,82,587.4
2244,8.8909,127,,82,587.6
2245,8.8923,120,,82,587.8
2246,8.8936,114,,81,587.8
2247,8.895,115,,81,588
2248,8.8962,119,,81,588.2
2249,8.8975,124,,82,588.2
2250,8.8988,125,,81,588.4
2251,8.9001,128,,84,588.6
2252,8.9014,131,,81,588.6
2253,8.9027,126,,81,588.8
2254,8.9041,125,,82,589
2255,8.9052,128,,82,589
2256,8.9065,121,,82,589.2
2257,8.9077,119,,81,589.4
2258,8.9089,114,,81,589.4
2259,8.91,113,,82,589.6
2260,8.9111,120,,83,589.8
2261,8.9123,128,,82,589.8
2262,8.9134,130,,81,590
2263,8.9146,127,,82,590.2
2264,8.9157,122,,82,590.2
2265,8.9169,118,,81,590.4
2266,8.918,114,,83,590.6
2267,8.9191,123,,83,590.6
2268,8.9202,133,,83,590.8
2269,8.9213,132,,83,591
2270,8.9225,129,,83,591
2271,8.9237,129,,82,591.2
2272,8.9249,128,,83,591.4
2273,8.926,125,,83,591.4
2274,8.9272,123,,83,591.6
2275,8.9283,123,,82,591.8
2276,8.9295,118,,82,591.8
2277,8.9306,116,,82,592
2278,8.9317,113,,82,592.2
2279,8.9327,120,,82,592.2
2280,8.9339,125,,82,592.4
2281,8.935,125,,82,592.6
2282,8.9361,125,,81,592.6
2283,8.9373,122,,81,592.8
2284,8.9385,115,,81,592.8
2285,8.9397,115,,81,593
2286,8.9408,118,,81,593.2
2287,8.942,122,,81,593.2
2288,8.9433,121,,81,593.4
2289,8.9445,122,,81,593.6
2290,8.9458,118,,80,593.6
2291,8.9471,115,,81,593.8
2292,8.9484,120,,81,593.8
2293,8.9497,121,,81,594
2294,8.951,121,,82,594.2
2295,8.9524,120,,82,594.2
2296,8.9539,122,,81,594.4
2297,8.9553,120,,82,594.6
2298,8.9568,122,,81,594.6
2299,8.9582,125,,79,594.8
2300,8.9598,118,,78,594.8
2301,8.9614,119,,81,595
2302,8.9631,130,,82,595.2
2303,8.9646,137,,82,595.2
2304,8.9664,127,,82,595.4
2305,8.9682,120,,81,595.4
2306,8.9699,116,,81,595.6
2307,8.9716,114,,82,595.8
2308,8.9734,119,,81,595.8
2309,8.9751,125,,81,596
2310,8.9769,124,,81,596.2
2311,8.9787,122,,80,596.2
2312,8.9806,117,,82,596.4
2313,8.9825,121,,82,596.4
2314,8.9842,123,,81,596.6
2315,8.9861,123,,82,596.8
2316,8.9881,125,,81,596.8
2317,8.9901,124,,81,597
2318,8.9921,125,,81,597
2319,8.9941,123,,81,597.2
2320,8.9961,115,,81,597.4
2321,8.9982,112,,81,597.4
2322,9.0003,119,,81,597.6
2323,9.0023,118,,81,597.6
2324,9.0043,117,,80,597.8
2325,9.0064,122,,81,598
2326,9.0084,124,,80,598
2327,9.0107,119,,80,598.2
2328,9.0129,120,,81,598.2
2329,9.015,125,,81,598.4
2330,9.0173,129,,80,598.4
2331,9.0195,123,,80,598.6
2332,9.0218,116,,80,598.8
2333,9.0242,117,,80,598.8
2334,9.0264,130,,81,599
2335,9.0288,138,,81,599
2336,9.0313,138,,81,599.2
2337,9.0338,129,,80,599.4
2338,9.0363,113,,80,599.4
2339,9.0389,106,,80,599.6
2340,9.0412,107,,80,599.6
2341,9.0436,117,,81,599.8
2342,9.046,117,,82,600
2343,9.0484,126,,80,600
2344,9.0508,129,,80,600.2
2345,9.0534,122,,81,600.2
2346,9.0558,120,,80,600.4
2347,9.0585,124,,80,600.6
2348,9.0609,119,,80,600.6
2349,9.0634,116,,80,600.8
2350,9.066,115,,80,600.8
2351,9.0684,115,,80,601
2352,9.0709,117,,80,601.2
2353,9.0735,118,,80,601.2
2354,9.0758,118,,80,601.4
2355,9.0783,119,,80,601.4
2356,9.0808,122,,80,601.6
2357,9.0833,121,,80,601.8
2358,9.0858,119,,80,601.8
2359,9.0882,117,,80,602
2360,9.0908,114,,80,602
2361,9.0931,115,,79,602.2
2362,9.0956,115,,79,602.2
2363,9.098,118,,80,602.4
2364,9.1005,123,,82,602.6
2365,9.1029,126,,82,602.6
2366,9.1055,126,,82,602.8
2367,9.1081,127,,81,602.8
2368,9.1107,126,,80,603
2369,9.1131,124,,81,603.2
2370,9.116,124,,81,603.2
2371,9.1188,119,,81,603.4
2372,9.1217,115,,81,603.6
2373,9.1245,117,,80,603.6
2374,9.1275,114,,80,603.8
2375,9.1305,121,,81,604
2376,9.1334,129,,80,604
2377,9.1363,124,,81,604.2
2378,9.1394,122,,82,604.2
2379,9.1422,121,,81,604.4
2380,9.1452,112,,80,604.6
2381,9.1479,113,,80,604.6
2382,9.1508,116,,81,604.8
2383,9.1534,118,,79,605
2384,9.1562,113,,78,605
2385,9.159,117,,79,605.2
2386,9.1617,121,,80,605.2
2387,9.1645,129,,80,605.4
2388,9.1673,136,,81,605.4
2389,9.1702,133,,82,605.6
2390,9.1732,115,,80,605.8
2391,9.176,108,,80,605.8
2392,9.1786,109,,81,606
2393,9.1815,114,,83,606
2394,9.1841,100,,83,606.2
2395,9.1868,84,,80,606.4
2396,9.1893,83,,79,606.4
2397,9.1917,83,,78,606.6
2398,9.194,95,,81,606.6
2399,9.1965,129,,80,606.8
2400,9.1989,145,,79,606.8
2401,9.2016,118,,79,607
2402,9.2043,111,,79,607
2403,9.2068,111,,80,607.2
2404,9.2094,114,,79,607.2
2405,9.212,124,,78,607.4
2406,9.2147,129,,82,607.6
2407,9.2175,134,,82,607.6
2408,9.2202,138,,81,607.8
2409,9.2229,122,,81,607.8
2410,9.2258,127,,82,608
2411,9.2287,144,,83,608.2
2412,9.2315,162,,86,608.2
2413,9.2346,172,,84,608.4
2414,9.2377,135,,82,608.6
2415,9.2408,93,,81,608.6
2416,9.2437,84,,81,608.8
2417,9.2466,100,,80,609
2418,9.2493,109,,81,609
2419,9.2522,117,,81,609.2
2420,9.2551,125,,81,609.4
2421,9.2578,120,,81,609.4
2422,9.2606,110,,81,609.6
2423,9.2631,119,,81,609.8
2424,9.2657,131,,81,609.8
2425,9.2684,139,,81,610
2426,9.2711,135,,81,610.2
2427,9.2736,120,,81,610.2
2428,9.2762,111,,83,610.4
2429,9.2786,115,,84,610.6
2430,9.2812,119,,83,610.6
2431,9.2835,125,,85,610.8
2432,9.2861,143,,86,611
2433,9.2884,141,,84,611.2
2434,9.2909,124,,80,611.2
2435,9.2932,109,,80,611.4
2436,9.2955,109,,81,611.6
2437,9.2977,122,,81,611.6
2438,9.3001,128,,81,611.8
2439,9.3023,127,,80,612
2440,9.3045,122,,81,612
2441,9.3067,116,,81,612.2
2442,9.3088,116,,79,612.4
2443,9.3109,115,,80,612.4
2444,9.3128,119,,81,612.6
2445,9.3147,125,,81,612.8
2446,9.3167,127,,81,612.8
2447,9.3186,125,,81,613
2448,9.3206,124,,81,613.2
2449,9.3224,125,,82,613.2
2450,9.3243,121,,81,613.4
2451,9.3262,117,,81,613.6
2452,9.328,117,,81,613.6
2453,9.3297,112,,79,613.8
2454,9.3314,100,,80,614
2455,9.3331,104,,79,614
2456,9.3347,106,,78,614.2
2457,9.3362,105,,78,614.2
2458,9.3376,105,,78,614.4
2459,9.3391,107,,77,614.4
2460,9.3406,115,,78,614.6
2461,9.3422,129,,80,614.8
2462,9.344,144,,79,614.8
2463,9.3458,139,,78,615
2464,9.3476,116,,79,615.2
2465,9.3492,104,,79,615.2
2466,9.3508,102,,80,615.4
2467,9.3524,109,,80,615.4
2468,9.3539,118,,79,615.6
2469,9.3555,116,,80,615.8
2470,9.3571,117,,79,615.8
2471,9.3587,116,,78,616
2472,9.3603,117,,79,616
2473,9.3619,121,,78,616.2
2474,9.3635,119,,80,616.4
2475,9.3651,122,,80,616.4
2476,9.3667,122,,80,616.6
2477,9.3684,125,,79,616.8
2478,9.3701,123,,79,616.8
2479,9.3717,120,,81,617
2480,9.3734,120,,81,617
2481,9.3752,127,,80,617.2
2482,9.377,115,,80,617.4
2483,9.3786,97,,79,617.4
2484,9.3802,93,,79,617.6
2485,9.3817,103,,79,617.8
2486,9.3832,122,,80,617.8
2487,9.3847,132,,79,618
2488,9.3864,124,,78,618
2489,9.3881,106,,79,618.2
2490,9.3898,105,,78,618.2
2491,9.3914,111,,78,618.4
2492,9.3929,119,,79,618.6
2493,9.3946,126,,80,618.6
2494,9.3962,127,,81,618.8
